Theta1,Theta2,Omega1,Omega2
36,-39,-12.216995613205555,55.3548235912702
36,-40,-11.727373220951113,53.96140879210185
36,-41,-11.25770609993848,52.637389287850304
36,-42,-10.80652929948263,51.377853513632985
36,-43,-10.372512693367941,50.17834854568356
36,-44,-9.954445615838244,49.03482804073937
36,-45,-9.551223544070053,47.943607119633946
36,-46,-9.161836515609059,46.90132313850375
36,-47,-8.785359022268608,45.90490147087231
36,-48,-8.420941165066216,44.95152557000608
36,-49,-8.067800889938896,44.03861070022773
36,-50,-7.725217152812599,43.163780823693294
36,-51,-7.392523886346909,42.324848209696505
36,-52,-7.069104660311405,41.51979540018037
36,-53,-6.754387943850666,40.74675922044048
36,-54,-6.4478428914782295,40.00401657009252
36,-55,-6.14897558599963,39.28997176792306
36,-56,-5.85732568109839,38.60314525659643
36,-57,-5.572463394346379,37.94216350043483
36,-58,-5.293986808181378,37.30574993250868
36,-59,-5.021519442140702,36.692716826781385
36,-60,-4.754708064523122,36.10195798763682
36,-61,-4.4932207158134885,35.532442163255126
36,-62,-4.236744919761386,34.98320710138914
36,-63,-3.984986061052946,34.4533541764552
36,-64,-3.7376659111333783,33.94204352575779
36,-65,-3.49452128599217,33.44848964034158
36,-66,-3.2553028216691264,32.97195736259396
36,-67,-3.0197738549224797,32.511758248461454
36,-68,-2.787709397959749,32.06724725712633
36,-69,-2.558895197399131,31.63781973532444
36,-70,-2.3331268687322755,31.222908667265003
36,-71,-2.110209098520552,30.82198216441596
36,-72,-1.889954907396334,30.43454117231102
36,-73,-1.6721849676747347,30.060117374073435
37,-39,-12.45193523344596,55.702434247946975
37,-40,-11.961034003916133,54.305380009869296
37,-41,-11.490140166497383,52.97790231922315
37,-42,-11.037784944222308,51.71507678268442
37,-43,-10.602634736738853,50.51243884596293
37,-44,-10.183475716171388,49.36593159721367
37,-45,-9.779200474810068,48.2718605327903
37,-46,-9.388796412295022,47.226854225990984
37,-47,-9.011335603118841,46.227830019769144
37,-48,-8.645965928460834,45.27196401089563
37,-49,-8.291903291622898,44.35666471266139
37,-50,-7.948424765246947,43.47954988128537
37,-51,-7.6148625423014105,42.63842607196072
37,-52,-7.290598582511128,41.83127055726247
37,-53,-6.97505986224794,41.05621529608859
37,-54,-6.667714149518127,40.311532687515026
37,-55,-6.368066237072428,39.59562288259293
37,-56,-6.075654576222824,38.907002459553276
37,-57,-5.790048261998995,38.244294295201406
37,-58,-5.510844327076375,37.606218488361954
37,-59,-5.23766530766867,36.99158421079478
37,-60,-4.970157049474152,36.39928237762826
37,-61,-4.707986725937666,35.82827904353159
37,-62,-4.450841044656829,35.27760944296562
37,-63,-4.198424620816529,34.74637260324021
37,-64,-3.950458499161035,34.23372646803522
37,-65,-3.7066788082735282,33.73888347673646
